ID,Nisba,Arabic Nisba
1550,Waghlānī,وغلانى
1551,Gharshī,غرشي
1552,Darāmī,درامي
1553,Daʾī,ضائي
1554,Baṣīrī,بصيري
1555,Ghallānī,غلاني
1556,Sarkī,سركي
1557,Kayyī,كي
1558,Tawrī,تورى
1559,Imāmī,إمامبي
1562,Dukuri,دكر
1563,‘Alaywī,عليوي
1565,Ta‘afī,تعفي
1566,Jaytī,جيتي
1567,Bīnatimi,بينتم
1568,Ṣamārī,صماري
1569,Jaytīī,جيتي
1571,Ḍaybī,ضيبى
1572,Tarāwarī,تراوري
1574,ʿAmūshī,عموشي
1577,Anmāṭī,أنماصي
1578,Kisāy,كساي
1579,Maḥṭūnī,محطوني
1580,Maṣrānī,مصراني
